case_id,week,weight,state,metro,region,ownhome,mstatus,employ,totper,adults,kids1217,kids611,kidsless,parent,totalage,refage,educ,income,race,polparty,polviewr,polview,ideology,regvote,sex,religion,ident,anycell,anyland,bornus,date,healthin,typeins,instype,he2z,partyln,partycom,covi1b,covi1bne,covi1c,covi1cne,covi2,covi2net,covi3,covi4,covi4net,covi5,covi6a,covi6ane,covi6b,covi6bne,covi6c,covi6cne,covi6d,covi6dne,covi7,covi8,covi9
50000019,816,.45,NC,Surburban (Metro),South,Owned,Married,Retired,Two,Two, , , , ,65+,65+,"Four year college or university degree/Bachelor.s degree (e.g., BS, BA, AB)","$150,000 to under $200,000",White Non-Hispanic,A Democrat,d3 5-1 asked,Moderate,Moderate,Yes,Female,Protestant,Landline,"Yes, respondent or someone in household has cell phone", , ,200421, , , , , ,Democrat/leans Democrat,Not so good,Not so good/poor,Good,Excellent/good,Somewhat worried,Very/somewhat worried,Yes,Probably use it,Definitely/probably use it,Comfortable,A great deal,A great deal/a good amout,A great deal,A great deal/a good amout,A great deal,A great deal/a good amout,A good amount,A great deal/a good amout,Appropriate,Appropriate,Support
50000021,816,.4206,SC,Center City County (Metro),South,Owned,"Single, that is never married",Retired,One,One, , , , ,65+,65+,"Four year college or university degree/Bachelor.s degree (e.g., BS, BA, AB)","Less than $15,000",White Non-Hispanic,A Republican,d3 1-5 asked,Somewhat conservative,Conservative Net,Yes,Female,Protestant,Landline,No, , ,200421, , , , , ,Republican/leans Republican,Good,Excellent/good,Not so good,Not so good/poor,Not too worried,Not too/not worried at all, , , , , , , , , , , , ,Too restrictive,Too restrictive,Support
50000023,816,.2202,MD,Center City County (Metro),South,Rented,"Single, that is never married",Full-time,One,One, , , , ,50-64,45-64,"Four year college or university degree/Bachelor.s degree (e.g., BS, BA, AB)","$75,000 but less than $100,000",White Non-Hispanic,A Democrat,d3 5-1 asked,Somewhat liberal,Liberal Net,Yes,Male,"Catholic, Roman Catholic",Landline,"Yes, respondent or someone in household has cell phone", , ,200421,"Yes, covered by health insurance",Plan through your or your spouse's employer, , , ,Democrat/leans Democrat,Poor,Not so good/poor,Excellent,Excellent/good,Somewhat worried,Very/somewhat worried,Yes,Probably use it,Definitely/probably use it,Comfortable,Not too much,Not too much/not at all,Not too much,Not too much/not at all,A good amount,A great deal/a good amout,A good amount,A great deal/a good amout,Appropriate,Appropriate,Oppose
50000024,816,2.0506,IN,Center City (Metro),North Central,Owned,Married,Homemaker,Four,Four, , , , ,50-64,45-64,High school graduate (Grade 12 with diploma or GED certificate),"Less than $50,000 (Unspecified)",White Non-Hispanic,Refused,d3 5-1 asked,Very conservative,Conservative Net,No,Female,Christian (Just Christian),Landline,"Yes, respondent or someone in household has cell phone", , ,200421,"Yes, covered by health insurance",Refused, , ,Neither/other,Independent/other,Good,Excellent/good,Excellent,Excellent/good,Not too worried,Not too/not worried at all,No, , , , , , , , , , , ,Too restrictive,Appropriate,Support
50000025,816,.8756,MD,Surburban (Metro),South,Rented,Widowed,Disabled/Handicapped,Three,One,Two,None,None,Yes,50-64,45-64,High school graduate (Grade 12 with diploma or GED certificate),"$30,000 but less than $40,000",Native American/American Indian/Alaska Native,A Democrat,d3 1-5 asked,Very conservative,Conservative Net,No,Female,Baptist,Landline,"Yes, respondent or someone in household has cell phone", , ,200421,"Yes, covered by health insurance",Medicare, , , ,Democrat/leans Democrat,Good,Excellent/good,Poor,Not so good/poor,Very worried,Very/somewhat worried,Yes,Definitely use it,Definitely/probably use it,Comfortable,A good amount,A great deal/a good amout,Not too much,Not too much/not at all,A good amount,A great deal/a good amout,Not too much,Not too much/not at all,Appropriate,Appropriate,Support
50000027,816,.8632,PA,Center City (Metro),North East,Rented,Separated,Retired,One,One, , , , ,65+,65+,High school incomplete (Grades 9-11 or Grade 12 with NO diploma),"$15,000 but less than $25,000",Black Non-Hispanic,A Democrat,d3 1-5 asked,Moderate,Moderate,Yes,Female,Baptist,Landline,"Yes, respondent or someone in household has cell phone", , ,200421, , , , , ,Democrat/leans Democrat,Not so good,Not so good/poor,Not so good,Not so good/poor,Not worried at all,Not too/not worried at all,Yes,Probably NOT use it,Definitely/probably NOT use it,Uncomfortable,Not at all,Not too much/not at all,Not at all,Not too much/not at all,Don't know,Don't know,Not at all,Not too much/not at all,Appropriate,Not restrictive enough,Oppose
50000028,816,.4482,FL,Center City (Metro),South,Rented,Married,Temporarily unemployed,Four,Two,None,None,Two,Yes,30-49,30-44,"Four year college or university degree/Bachelor.s degree (e.g., BS, BA, AB)","$25,000 but less than $30,000",White Non-Hispanic,A Democrat,d3 1-5 asked,Somewhat conservative,Conservative Net,No,Male,Muslim/Islamic,Landline,"Yes, respondent or someone in household has cell phone", , ,200421,"Yes, covered by health insurance",Somewhere else, , , ,Democrat/leans Democrat,Good,Excellent/good,Good,Excellent/good,Somewhat worried,Very/somewhat worried,Yes,Probably use it,Definitely/probably use it,Comfortable,A good amount,A great deal/a good amout,A good amount,A great deal/a good amout,A good amount,A great deal/a good amout,A good amount,A great deal/a good amout,Appropriate,Appropriate,Support
50000031,816,.7193,IN,Center City (Metro),North Central,Owned,Married,Part-time,Two,Two, , , , ,65+,65+,"Postgraduate or professional degree, including master's, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)",Refused,White Non-Hispanic,A Republican,d3 5-1 asked,Very conservative,Conservative Net,Yes,Female,Protestant,Landline,"Yes, respondent or someone in household has cell phone", , ,200421, , , , , ,Republican/leans Republican,Excellent,Excellent/good,Excellent,Excellent/good,Not too worried,Not too/not worried at all,Yes,Probably use it,Definitely/probably use it,Comfortable,A good amount,A great deal/a good amout,A great deal,A great deal/a good amout,A great deal,A great deal/a good amout,A good amount,A great deal/a good amout,Too restrictive,Appropriate,Support
50000033,816,1.7654,TN,Center City County (Metro),South,Rented,Married,Disabled/Handicapped,Two,Two, , , , ,65+,65+,High school incomplete (Grades 9-11 or Grade 12 with NO diploma),"$30,000 but less than $40,000",White Non-Hispanic,An Independent,d3 5-1 asked,Somewhat conservative,Conservative Net,Yes,Female,Mormon (Church of Jesus Christ of Latter-Day Saints/LDS),Landline,"Yes, respondent or someone in household has cell phone", , ,200421, , , , ,Democratic,Democrat/leans Democrat,Poor,Not so good/poor,Not so good,Not so good/poor,Not worried at all,Not too/not worried at all,Yes,Definitely use it,Definitely/probably use it,Comfortable,A great deal,A great deal/a good amout,Not at all,Not too much/not at all,Not at all,Not too much/not at all,Refused,Refused,Too restrictive,Not restrictive enough,Support
50000034,816,.3636,VA,Surburban (Metro),South,Owned,Widowed,Retired,One,One, , , , ,65+,65+,"Some college, no degree (includes community college)",Refused,White Non-Hispanic,An Independent,d3 5-1 asked,Moderate,Moderate,Yes,Female,Protestant,Landline,"Yes, respondent or someone in household has cell phone", , ,200421, , , , ,Democratic,Democrat/leans Democrat,Not so good,Not so good/poor,Excellent,Excellent/good,Not too worried,Not too/not worried at all,Yes,Probably use it,Definitely/probably use it,Comfortable,Not too much,Not too much/not at all,A good amount,A great deal/a good amout,A great deal,A great deal/a good amout,Not too much,Not too much/not at all,Appropriate,Appropriate,Support
50000035,816,.5493,MD,Surburban (Metro),South,Owned,Married,Full-time,Four,Two,One,One,None,Yes,30-49,45-64,"Postgraduate or professional degree, including master's, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)","$250,000 or more",White Non-Hispanic,An Independent,d3 1-5 asked,Very liberal,Liberal Net,Yes,Male,Refused,Landline,"Yes, respondent or someone in household has cell phone", , ,200421,"Yes, covered by health insurance",Plan through your or your spouse's employer, , ,Democratic,Democrat/leans Democrat,Poor,Not so good/poor,Excellent,Excellent/good,Very worried,Very/somewhat worried,Yes,Probably use it,Definitely/probably use it,Comfortable,A great deal,A great deal/a good amout,Not too much,Not too much/not at all,Not too much,Not too much/not at all,A good amount,A great deal/a good amout,Appropriate,Appropriate,Oppose
50000037,816,1.6079,LA,Center City (Metro),South,Owned,Married,Retired,Two,Two, , , , ,65+,65+,High school graduate (Grade 12 with diploma or GED certificate),"$200,000 to under $250,000",White Non-Hispanic,A Republican,d3 5-1 asked,Very conservative,Conservative Net,Yes,Male,Protestant,Landline,No, , ,200421, , , , , ,Republican/leans Republican,Good,Excellent/good,Not so good,Not so good/poor,Not too worried,Not too/not worried at all, , , , , , , , , , , , ,Not restrictive enough,Not restrictive enough,Support
50000039,816,.5436,MN,Center City (Metro),North Central,Owned,Married,Full-time,Two,Two, , , , ,30-49,30-44,"Four year college or university degree/Bachelor.s degree (e.g., BS, BA, AB)","$75,000 but less than $100,000",White Non-Hispanic,An Independent,d3 5-1 asked,Moderate,Moderate,Yes,Male,"Catholic, Roman Catholic",Landline,"Yes, respondent or someone in household has cell phone", , ,200421,"Yes, covered by health insurance",Plan through your or your spouse's employer, , ,Republican,Republican/leans Republican,Excellent,Excellent/good,Poor,Not so good/poor,Not worried at all,Not too/not worried at all,Yes,Definitely NOT use it,Definitely/probably NOT use it,Uncomfortable,Not at all,Not too much/not at all,Not at all,Not too much/not at all,Not too much,Not too much/not at all,Not too much,Not too much/not at all,Too restrictive,Too restrictive,Support
50000041,816,1.4383,WI,Center City (Metro),North Central,Owned,Married,Full-time,Two,Two, , , , ,50-64,45-64,High school graduate (Grade 12 with diploma or GED certificate),"$100,000 to under $150,000",White Non-Hispanic,A Democrat,d3 5-1 asked,Somewhat liberal,Liberal Net,Yes,Female,Methodist,Landline,"Yes, respondent or someone in household has cell phone", , ,200421,"Yes, covered by health insurance",Plan through your or your spouse's employer, , , ,Democrat/leans Democrat,Poor,Not so good/poor,Good,Excellent/good,Somewhat worried,Very/somewhat worried,Yes,Definitely use it,Definitely/probably use it,Comfortable,A good amount,A great deal/a good amout,A good amount,A great deal/a good amout,A good amount,A great deal/a good amout,Not too much,Not too much/not at all,Appropriate,Appropriate,Support
50000044,816,.6838,CO,Center City (Metro),West,Owned,"Single, that is never married",Full-time,Two,Two, , , , ,30-49,30-44,"Some college, no degree (includes community college)","$50,000 but less than $75,000",White Non-Hispanic,An Independent,d3 5-1 asked,Somewhat conservative,Conservative Net,Yes,Male,Agnostic,Landline,"Yes, respondent or someone in household has cell phone", , ,200421,"Yes, covered by health insurance",Plan through your or your spouse's employer, , ,Republican,Republican/leans Republican,Poor,Not so good/poor,Good,Excellent/good,Very worried,Very/somewhat worried,Yes,Definitely use it,Definitely/probably use it,Comfortable,Not at all,Not too much/not at all,Not too much,Not too much/not at all,A great deal,A great deal/a good amout,A great deal,A great deal/a good amout,Appropriate,Not restrictive enough,Oppose
50000045,816,.6281,ID,Center City (Metro),West,Owned,Married,Full-time,Two,Two, , , , ,50-64,45-64,"Four year college or university degree/Bachelor.s degree (e.g., BS, BA, AB)","$100,000 and over (Unspecified)",White Non-Hispanic,A Republican,d3 5-1 asked,Moderate,Moderate,Yes,Male,"Catholic, Roman Catholic",Landline,"Yes, respondent or someone in household has cell phone", , ,200421,"Yes, covered by health insurance",Plan through your or your spouse's employer, , , ,Republican/leans Republican,Excellent,Excellent/good,Poor,Not so good/poor,Somewhat worried,Very/somewhat worried,Yes,Definitely use it,Definitely/probably use it,Comfortable,Not too much,Not too much/not at all,Not at all,Not too much/not at all,A great deal,A great deal/a good amout,A great deal,A great deal/a good amout,Appropriate,Appropriate,Support
50000048,816,.607,UT,Center City (Metro),West,Rented,Married,Retired,Two,Two, , , , ,65+,65+,"Some college, no degree (includes community college)","$30,000 but less than $40,000",White Non-Hispanic,A Republican,d3 5-1 asked,Moderate,Moderate,Yes,Female,"Catholic, Roman Catholic",Landline,"Yes, respondent or someone in household has cell phone", , ,200421, , , , , ,Republican/leans Republican,Excellent,Excellent/good,Excellent,Excellent/good,Somewhat worried,Very/somewhat worried,Yes,Definitely NOT use it,Definitely/probably NOT use it,Uncomfortable,A great deal,A great deal/a good amout,A good amount,A great deal/a good amout,A good amount,A great deal/a good amout,A good amount,A great deal/a good amout,Appropriate,Appropriate,Oppose
50000049,816,1.1164,CO,Non-Metro,West,Owned,Married,Retired,Two,Two, , , , ,65+,65+,High school graduate (Grade 12 with diploma or GED certificate),"$25,000 but less than $30,000",White Non-Hispanic,A Republican,d3 5-1 asked,Very conservative,Conservative Net,Yes,Male,"Catholic, Roman Catholic",Landline,"Yes, respondent or someone in household has cell phone", , ,200421, , , , , ,Republican/leans Republican,Excellent,Excellent/good,Not so good,Not so good/poor,Somewhat worried,Very/somewhat worried,No, , , , , , , , , , , ,Appropriate,Appropriate,Support
50000051,816,.3459,CA,Non-Center City (Metro),West,Owned,Divorced,Retired,One,One, , , , ,65+,65+,"Postgraduate or professional degree, including master's, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)","$50,000 but less than $75,000",White Non-Hispanic,An Independent,d3 5-1 asked,Moderate,Moderate,Yes,Female,Protestant,Landline,No, , ,200421, , , , ,Republican,Republican/leans Republican,Poor,Not so good/poor,Not so good,Not so good/poor,Very worried,Very/somewhat worried, , , , , , , , , , , , ,Appropriate,Appropriate,Support
50000054,816,.5273,CA,Center City (Metro),West,Owned,Married,Retired,One,One, , , , ,65+,65+,"Postgraduate or professional degree, including master's, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)","$50,000 but less than $75,000",Black Non-Hispanic,A Democrat,d3 5-1 asked,Very conservative,Conservative Net,Yes,Female,Other,Landline,"Yes, respondent or someone in household has cell phone", , ,200421, , , , , ,Democrat/leans Democrat,Poor,Not so good/poor,Excellent,Excellent/good,Very worried,Very/somewhat worried,Yes,Probably use it,Definitely/probably use it,Refused,Not at all,Not too much/not at all,A great deal,A great deal/a good amout,A great deal,A great deal/a good amout,Not at all,Not too much/not at all,Not restrictive enough,Appropriate,Oppose
50000055,816,.5413,CA,Non-Center City (Metro),West,Owned,Married,Full-time,One,One, , , , ,65+,65+,"Some college, no degree (includes community college)","$30,000 but less than $40,000",White Non-Hispanic,A Democrat,d3 5-1 asked,Very liberal,Liberal Net,Yes,Male,Nothing in particular,Landline,"Yes, respondent or someone in household has cell phone", , ,200421, , , , , ,Democrat/leans Democrat,Not so good,Not so good/poor,Excellent,Excellent/good,Somewhat worried,Very/somewhat worried,No, , , , , , , , , , , ,Appropriate,Appropriate,Support
50000056,816,.7579,CA,Center City (Metro),West,Owned,Married,Retired,Two,Two, , , , ,65+,65+,"Postgraduate or professional degree, including master's, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)","$150,000 to under $200,000",Refused,Refused,d3 1-5 asked,Very liberal,Liberal Net,Yes,Male,Jewish/Judaism,Landline,"Yes, respondent or someone in household has cell phone", , ,200421, , , , ,Democratic,Democrat/leans Democrat,Poor,Not so good/poor,Good,Excellent/good,Not too worried,Not too/not worried at all,No, , , , , , , , , , , ,Appropriate,Not restrictive enough,Oppose
50000057,816,.4498,CA,Non-Center City (Metro),West,Owned,Married,Temporarily unemployed,Five,Two,None,Three,None,Yes,50-64,45-64,"Four year college or university degree/Bachelor.s degree (e.g., BS, BA, AB)","$75,000 but less than $100,000",White Non-Hispanic,An Independent,d3 5-1 asked,Somewhat liberal,Liberal Net,Yes,Male,Nothing in particular,Landline,"Yes, respondent or someone in household has cell phone", , ,200421,"Yes, covered by health insurance",Plan through your or your spouse's employer, , ,Democratic,Democrat/leans Democrat,Poor,Not so good/poor,Excellent,Excellent/good,Somewhat worried,Very/somewhat worried,Yes,Probably NOT use it,Definitely/probably NOT use it,Uncomfortable,Not too much,Not too much/not at all,Not too much,Not too much/not at all,A good amount,A great deal/a good amout,Not too much,Not too much/not at all,Appropriate,Appropriate,Oppose
50000058,816,.8286,CA,Center City (Metro),West,Owned,Married,Full-time,Three,Three, , , , ,50-64,45-64,"Postgraduate or professional degree, including master's, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)","$250,000 or more",Black Non-Hispanic,A Democrat,d3 5-1 asked,Somewhat liberal,Liberal Net,Yes,Female,Protestant,Landline,"Yes, respondent or someone in household has cell phone", , ,200421,"Yes, covered by health insurance",Plan through your or your spouse's employer, , , ,Democrat/leans Democrat,Poor,Not so good/poor,Excellent,Excellent/good,Not too worried,Not too/not worried at all,Yes,Probably NOT use it,Definitely/probably NOT use it,Uncomfortable,Not at all,Not too much/not at all,Not at all,Not too much/not at all,Not at all,Not too much/not at all,Not at all,Not too much/not at all,Appropriate,Appropriate,Oppose
50000059,816,.6007,NV,Center City (Metro),West,Rented,Widowed,Retired,One,One, , , , ,65+,65+,High school graduate (Grade 12 with diploma or GED certificate),"$15,000 but less than $25,000",White Non-Hispanic,An Independent,d3 1-5 asked,Somewhat conservative,Conservative Net,Yes,Male,Nothing in particular,Landline,"Yes, respondent or someone in household has cell phone", , ,200421, , , , ,Republican,Republican/leans Republican,Good,Excellent/good,Good,Excellent/good,Somewhat worried,Very/somewhat worried,No, , , , , , , , , , , ,Appropriate,Appropriate,Support
50000060,816,1.2211,CA,Non-Center City (Metro),West,Owned,Married,Full-time,Three,Three, , , , ,50-64,45-64,"Some college, no degree (includes community college)","$75,000 but less than $100,000",Unspecified Hispanic,A Republican,d3 5-1 asked,Very conservative,Conservative Net,Yes,Female,Christian (Just Christian),Landline,"Yes, respondent or someone in household has cell phone", ,United States,200421,"Yes, covered by health insurance",Plan through your or your spouse's employer, , , ,Republican/leans Republican,Excellent,Excellent/good,Not so good,Not so good/poor,Not too worried,Not too/not worried at all,Yes,Definitely NOT use it,Definitely/probably NOT use it,Uncomfortable,A good amount,A great deal/a good amout,Not too much,Not too much/not at all,Not too much,Not too much/not at all,Not too much,Not too much/not at all,Refused,Too restrictive,Support
50000062,816,.3359,WA,Non-Metro,West,Owned,Widowed,Retired,One,One, , , , ,65+,65+,"Some college, no degree (includes community college)","$15,000 but less than $25,000",White Non-Hispanic,An Independent,d3 5-1 asked,Very conservative,Conservative Net,Yes,Female,Protestant,Landline,"Yes, respondent or someone in household has cell phone", , ,200421, , , , ,Republican,Republican/leans Republican,Good,Excellent/good,Not so good,Not so good/poor,Somewhat worried,Very/somewhat worried,No, , , , , , , , , , , ,Appropriate,Appropriate,Support
50000064,816,.9142,CA,Center City (Metro),West,Owned,Divorced,Retired,Five,Five, , , , ,65+,65+,Two year associate degree from a college or university,"$50,000 but less than $75,000",Native American/American Indian/Alaska Native,A Democrat,d3 5-1 asked,Moderate,Moderate,Yes,Female,"Catholic, Roman Catholic",Landline,"Yes, respondent or someone in household has cell phone", , ,200421, , , , , ,Democrat/leans Democrat,Poor,Not so good/poor,Good,Excellent/good,Not too worried,Not too/not worried at all,Yes,Definitely use it,Definitely/probably use it,Uncomfortable,Not too much,Not too much/not at all,A good amount,A great deal/a good amout,A good amount,A great deal/a good amout,A good amount,A great deal/a good amout,Appropriate,Appropriate,Oppose
50000065,816,.4075,CA,Center City County (Metro),West,Rented,Widowed,Retired,One,One, , , , ,65+,65+,"Postgraduate or professional degree, including master's, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)","$25,000 but less than $30,000",White Non-Hispanic,A Democrat,d3 5-1 asked,Somewhat liberal,Liberal Net,Yes,Female,Protestant,Landline,No, , ,200421, , , , , ,Democrat/leans Democrat,Poor,Not so good/poor,Good,Excellent/good,Not too worried,Not too/not worried at all, , , , , , , , , , , , ,Appropriate,Not restrictive enough,Oppose
50000066,816,.2964,CA,Center City County (Metro),West,Owned,Widowed,Retired,One,One, , , , ,65+,65+,"Some college, no degree (includes community college)","$40,000 but less than $50,000",White Non-Hispanic,A Democrat,d3 5-1 asked,Moderate,Moderate,Yes,Female,"Catholic, Roman Catholic",Landline,No, , ,200421, , , , , ,Democrat/leans Democrat,Not so good,Not so good/poor,Good,Excellent/good,Not too worried,Not too/not worried at all, , , , , , , , , , , , ,Not restrictive enough,Not restrictive enough,Support
50000067,816,2.5809,NY,Center City (Metro),North East,Owned,Married,Homemaker,Two,Two, , , , ,18-29,18-29,High school graduate (Grade 12 with diploma or GED certificate),"$30,000 but less than $40,000",White Non-Hispanic,A Democrat,d3 5-1 asked,Moderate,Moderate,Yes,Female,Protestant,Landline,No, , ,200422,"No, not covered by health insurance", , , , ,Democrat/leans Democrat,Poor,Not so good/poor,Good,Excellent/good,Very worried,Very/somewhat worried, , , , , , , , , , , , ,Appropriate,Appropriate,Support
