case_id,week,weight,state,metro,region,ownhome,mstatus,employ,totper,adults,kids1217,kids611,kidsless6,parent,totalage,refage,educ,income,race,polparty,polviewrot,polview,ideologynet,regvote,sex,religion,ident,anycell,anyland,bornus,date,healthins,typeins,instype,he2z,partyln,partycomb,covi1a,covi1anet,covi1b,covi1bnet,covi1c,covi1cnet,covi1d,covi1dnet,covi2,covi3,covi4,covi4net,covi5,covi5net,covi6,covi6net,covi7,covi8,covi9,covi10,covi11,covi12rot,covi12
50000021,815,.594,GA,Center City (Metro),South,Owned,Married,Retired,Two,Two, , , , ,65+,65+,"Four year college or university degree/Bachelor.s degree (e.g., BS, BA, AB)","$30,000 but less than $40,000",Mixed,A Republican,d3 5-1 asked,Somewhat conservative,Conservative Net,Yes,Male,Christian (Just Christian),Landline,"Yes, respondent or someone in household has cell phone", , ,200414, , , , , ,Republican/leans Republican,Not so good,Not so good/poor,Excellent,Excellent/good,Not so good,Not so good/poor,Not so good,Not so good/poor,Not a source of stress,No, , , , ,Somewhat worried,Very/somewhat worried,No, , ,"Yes, wore mask or face covering",By the end of May,quickly/slowly,Slowly
50000022,815,.4213,FL,Center City County (Metro),South,Owned,Divorced,Part-time,One,One, , , , ,50-64,45-64,"Four year college or university degree/Bachelor.s degree (e.g., BS, BA, AB)","$15,000 but less than $25,000",White Non-Hispanic,A Democrat,d3 1-5 asked,Moderate,Moderate,Yes,Female,Nothing in particular,Landline,"Yes, respondent or someone in household has cell phone", , ,200414,"Yes, covered by health insurance",Plan you purchased yourself either from an insurance company or a state or federal marketplace,Through an insurance agent or broker,Marketplace plan, ,Democrat/leans Democrat,Poor,Not so good/poor,Poor,Not so good/poor,Poor,Not so good/poor,Good,Excellent/good,Not a source of stress,Yes,Somewhat concerned,Very concerned/somewhat concerned,Not too concerned,Not too/not concerned at all,Somewhat worried,Very/somewhat worried,No, , ,"Yes, wore mask or face covering",By the end of July,quickly/slowly,Slowly
50000024,815,.9151,NY,Center City (Metro),North East,Rented,Widowed,Retired,Two,Two, , , , ,65+,65+,High school graduate (Grade 12 with diploma or GED certificate),"Less than $15,000",White Non-Hispanic,A Democrat,d3 1-5 asked,Moderate,Moderate,No,Female,Protestant,Landline,"Yes, respondent or someone in household has cell phone", , ,200414, , , , , ,Democrat/leans Democrat,Good,Excellent/good,Not so good,Not so good/poor,Excellent,Excellent/good,Not employed,Not employed,"Yes, stress, but not serious",No, , , , ,Not too worried,Not too/not worried at all,No, , ,Never left home,By the end of May,slowly/quickly,Slowly
50000025,815,.9894,VA,Surburban (Metro),South,Owned,Widowed,Retired,Three,Three, , , , ,65+,65+,High school incomplete (Grades 9-11 or Grade 12 with NO diploma),Don't know,White Non-Hispanic,A Democrat,d3 1-5 asked,Very conservative,Conservative Net,No,Female,Protestant,Landline,"Yes, respondent or someone in household has cell phone", , ,200414, , , , , ,Democrat/leans Democrat,Not so good,Not so good/poor,Not so good,Not so good/poor,Good,Excellent/good,Not employed,Not employed,Not a source of stress,Yes,Not too concerned,Not too/not concerned at all,Not concerned at all,Not too/not concerned at all,Very worried,Very/somewhat worried,No, , ,Never left home,By the end of May,quickly/slowly,Quickly
50000026,815,1.5887,NJ,Center City (Metro),North East,Owned,Married,Homemaker,Two,Two, , , , ,50-64,45-64,High school graduate (Grade 12 with diploma or GED certificate),"$15,000 but less than $25,000",Black Non-Hispanic,A Democrat,d3 1-5 asked,Moderate,Moderate,Yes,Female,Christian (Just Christian),Landline,"Yes, respondent or someone in household has cell phone", , ,200414,"Yes, covered by health insurance",Medicare, , , ,Democrat/leans Democrat,Good,Excellent/good,Not so good,Not so good/poor,Excellent,Excellent/good,Good,Excellent/good,Not a source of stress,Yes,Very concerned,Very concerned/somewhat concerned,Very concerned,Very concerned/somewhat concerned,Not too worried,Not too/not worried at all,Yes,No,No,Never left home,By the end of May,quickly/slowly,Slowly
50000027,815,.8555,KY,Center City (Metro),South,Owned,Married,Part-time,Two,Two, , , , ,65+,65+,High school graduate (Grade 12 with diploma or GED certificate),"$40,000 but less than $50,000",White Non-Hispanic,A Republican,d3 1-5 asked,Somewhat conservative,Conservative Net,Yes,Male,Christian (Just Christian),Landline,Don't know, , ,200414, , , , , ,Republican/leans Republican,Not so good,Not so good/poor,Not so good,Not so good/poor,Not so good,Not so good/poor,Good,Excellent/good,"Yes, serious stress",Yes,Not too concerned,Not too/not concerned at all,Not too concerned,Not too/not concerned at all,Somewhat worried,Very/somewhat worried,No, , ,"No, did not wear mask or face covering",By the end of May,slowly/quickly,Quickly
50000028,815,.7695,VA,Center City (Metro),South,Owned,Divorced,Full-time,Three,Three, , , , ,50-64,45-64,"Four year college or university degree/Bachelor.s degree (e.g., BS, BA, AB)","$40,000 but less than $50,000",Black Non-Hispanic,An Independent,d3 5-1 asked,Very conservative,Conservative Net,Yes,Female,Jewish/Judaism,Landline,"Yes, respondent or someone in household has cell phone", , ,200414,"Yes, covered by health insurance",Somewhere else, , ,Republican,Republican/leans Republican,Good,Excellent/good,Good,Excellent/good,Good,Excellent/good,Good,Excellent/good,Not a source of stress,Yes,Not too concerned,Not too/not concerned at all,Not too concerned,Not too/not concerned at all,Not worried at all,Not too/not worried at all,No, , ,"Yes, wore mask or face covering",Later in 2020,quickly/slowly,Slowly
50000029,815,.4872,GA,Non-Metro,South,Owned,Widowed,Temporarily unemployed,Five,Five, , , , ,65+,65+,"Four year college or university degree/Bachelor.s degree (e.g., BS, BA, AB)","Less than $15,000",Mixed,A Democrat,d3 1-5 asked,Moderate,Moderate,Yes,Female,Baptist,Landline,"Yes, respondent or someone in household has cell phone", , ,200414, , , , , ,Democrat/leans Democrat,Poor,Not so good/poor,Poor,Not so good/poor,Poor,Not so good/poor,Not employed,Not employed,Not a source of stress,Yes,Very concerned,Very concerned/somewhat concerned,Very concerned,Very concerned/somewhat concerned,Somewhat worried,Very/somewhat worried,Yes,Yes,Yes,Never left home,Or will it take longer than that,slowly/quickly,Slowly
50000030,815,1.2947,IL,Center City (Metro),North Central,Owned,Refused,Student,Five,Four,None,One,None,No,18-29,18-29,"Some college, no degree (includes community college)","$75,000 but less than $100,000",White Non-Hispanic,An Independent,d3 5-1 asked,Somewhat liberal,Liberal Net,Yes,Female,Other,Landline,"Yes, respondent or someone in household has cell phone", , ,200414,"Yes, covered by health insurance",Plan through your parents/mother/father, , ,Democratic,Democrat/leans Democrat,Good,Excellent/good,Poor,Not so good/poor,Excellent,Excellent/good,Good,Excellent/good,Not a source of stress,No, , , , ,Not too worried,Not too/not worried at all,No, , ,Never left home,By the end of May,slowly/quickly,Slowly
50000031,815,.3818,LA,Non-Metro,South,Owned,Married,Retired,Two,Two, , , , ,65+,65+,"Four year college or university degree/Bachelor.s degree (e.g., BS, BA, AB)","$25,000 but less than $30,000",White Non-Hispanic,A Republican,d3 5-1 asked,Somewhat liberal,Liberal Net,Yes,Male,"Catholic, Roman Catholic",Landline,"Yes, respondent or someone in household has cell phone", , ,200414, , , , , ,Republican/leans Republican,Good,Excellent/good,Good,Excellent/good,Good,Excellent/good,Good,Excellent/good,"Yes, stress, but not serious",Yes,Somewhat concerned,Very concerned/somewhat concerned,Somewhat concerned,Very concerned/somewhat concerned,Somewhat worried,Very/somewhat worried,Yes,Yes,No,"Yes, wore mask or face covering",By the end of April,quickly/slowly,Slowly
50000032,815,.9536,ND,Non-Metro,North Central,Owned,Widowed,Disabled/Handicapped,Two,Two, , , , ,50-64,45-64,High school incomplete (Grades 9-11 or Grade 12 with NO diploma),"Less than $15,000",White Non-Hispanic,A Republican,d3 5-1 asked,Somewhat conservative,Conservative Net,Yes,Female,Nothing in particular,Landline,"Yes, respondent or someone in household has cell phone", , ,200414,"No, not covered by health insurance", , , , ,Republican/leans Republican,Good,Excellent/good,Excellent,Excellent/good,Good,Excellent/good,Good,Excellent/good,"Yes, serious stress",No, , , , ,Very worried,Very/somewhat worried,No, , ,"Yes, wore mask or face covering",Or will it take longer than that,slowly/quickly,Slowly
50000033,815,.3735,IA,Center City (Metro),North Central,Owned,Widowed,Retired,One,One, , , , ,65+,65+,"Four year college or university degree/Bachelor.s degree (e.g., BS, BA, AB)","$25,000 but less than $30,000",White Non-Hispanic,A Democrat,d3 1-5 asked,Moderate,Moderate,Yes,Female,"Catholic, Roman Catholic",Landline,No, , ,200414, , , , , ,Democrat/leans Democrat,Good,Excellent/good,Poor,Not so good/poor,Good,Excellent/good,Not employed,Not employed,Not a source of stress,No, , , , ,Not too worried,Not too/not worried at all,No, , ,Never left home,By the end of July,quickly/slowly,Slowly
50000034,815,.5061,WI,Non-Metro,North Central,Owned,Married,Retired,Three,Three, , , , ,65+,65+,"Four year college or university degree/Bachelor.s degree (e.g., BS, BA, AB)","$50,000 but less than $75,000",White Non-Hispanic,An Independent,d3 1-5 asked,Moderate,Moderate,Yes,Female,"Catholic, Roman Catholic",Landline,"Yes, respondent or someone in household has cell phone", , ,200414, , , , ,Democratic,Democrat/leans Democrat,Poor,Not so good/poor,Poor,Not so good/poor,Good,Excellent/good,Not employed,Not employed,"Yes, stress, but not serious",No, , , , ,Somewhat worried,Very/somewhat worried,Yes,No,No,"Yes, wore mask or face covering",By the end of July,slowly/quickly,Slowly
50000035,815,2.29,OK,Center City (Metro),South,Rented,Married,Disabled/Handicapped,Three,Three, , , , ,30-49,45-64,High school graduate (Grade 12 with diploma or GED certificate),"$30,000 but less than $40,000",White Non-Hispanic,A Republican,d3 5-1 asked,Somewhat conservative,Conservative Net,Yes,Female,Christian (Just Christian),Landline,No, , ,200414,"Yes, covered by health insurance",Medicare, , , ,Republican/leans Republican,Not so good,Not so good/poor,Excellent,Excellent/good,Not so good,Not so good/poor,Not employed,Not employed,Not a source of stress,No, , , , ,Not worried at all,Not too/not worried at all,No, , ,Never left home,Later in 2020,slowly/quickly,Quickly
50000036,815,.4763,TN,Non-Metro,South,Owned,Widowed,Retired,One,One, , , , ,65+,65+,High school graduate (Grade 12 with diploma or GED certificate),"$25,000 but less than $30,000",White Non-Hispanic,An Independent,d3 5-1 asked,Very conservative,Conservative Net,Yes,Male,Protestant,Landline,"Yes, respondent or someone in household has cell phone", , ,200414, , , , ,Republican,Republican/leans Republican,Good,Excellent/good,Excellent,Excellent/good,Good,Excellent/good,Not employed,Not employed,"Yes, serious stress",No, , , , ,Not too worried,Not too/not worried at all,Yes,No,Yes,Never left home,By the end of April,slowly/quickly,Quickly
50000037,815,1.0288,CO,Surburban (Metro),West,Owned,Married,Retired,Two,Two, , , , ,50-64,45-64,Two year associate degree from a college or university,"$30,000 but less than $40,000",White Non-Hispanic,An Independent,d3 1-5 asked,Moderate,Moderate,Yes,Female,Lutheran,Landline,"Yes, respondent or someone in household has cell phone", , ,200414,"Yes, covered by health insurance",Plan through your or your spouse's employer, , ,Democratic,Democrat/leans Democrat,Not so good,Not so good/poor,Poor,Not so good/poor,Good,Excellent/good,Good,Excellent/good,Not a source of stress,No, , , , ,Not too worried,Not too/not worried at all,No, , ,"Yes, wore mask or face covering",By the end of July,quickly/slowly,Slowly
50000038,815,.8917,WA,Center City (Metro),West,Owned,Married,Retired,Two,Two, , , , ,65+,65+,High school graduate (Grade 12 with diploma or GED certificate),"$75,000 but less than $100,000",White Non-Hispanic,An Independent,d3 5-1 asked,Very liberal,Liberal Net,Yes,Male,Lutheran,Landline,"Yes, respondent or someone in household has cell phone", , ,200414, , , , ,Neither/other,Independent/other,Good,Excellent/good,Good,Excellent/good,Good,Excellent/good,Not employed,Not employed,Not a source of stress,No, , , , ,Not worried at all,Not too/not worried at all,No, , ,"Yes, wore mask or face covering",By the end of June,quickly/slowly,Slowly
50000039,815,.3102,CA,Center City (Metro),West,Rented,"Single, that is never married",Retired,One,One, , , , ,65+,65+,"Some postgraduate or professional schooling, no postgraduate degree","$30,000 but less than $40,000",White Non-Hispanic,An Independent,d3 5-1 asked,Moderate,Moderate,No,Male,Protestant,Landline,"Yes, respondent or someone in household has cell phone", , ,200414, , , , ,Neither/other,Independent/other,Good,Excellent/good,Not so good,Not so good/poor,Good,Excellent/good,Not employed,Not employed,"Yes, serious stress",No, , , , ,Somewhat worried,Very/somewhat worried,No, , ,"No, did not wear mask or face covering",Later in 2020,quickly/slowly,Slowly
50000043,815,.6257,AZ,Center City County (Metro),West,Owned,"Single, that is never married",Part-time,Two,Two, , , , ,65+,65+,Two year associate degree from a college or university,"$15,000 but less than $25,000",White Non-Hispanic,A Democrat,d3 5-1 asked,Somewhat liberal,Liberal Net,Yes,Female,Jewish/Judaism,Landline,"Yes, respondent or someone in household has cell phone", , ,200414, , , , , ,Democrat/leans Democrat,Good,Excellent/good,Good,Excellent/good,Good,Excellent/good,Good,Excellent/good,"Yes, stress, but not serious",Yes,Somewhat concerned,Very concerned/somewhat concerned,Somewhat concerned,Very concerned/somewhat concerned,Not too worried,Not too/not worried at all,Yes,No,Yes,"Yes, wore mask or face covering",By the end of July,slowly/quickly,Slowly
50000044,815,.795,CA,Surburban (Metro),West,Owned,Widowed,Retired,One,One, , , , ,65+,65+,High school graduate (Grade 12 with diploma or GED certificate),"Less than $50,000 (Unspecified)",White Non-Hispanic,A Republican,d3 5-1 asked,Very conservative,Conservative Net,Yes,Female,Protestant,Landline,No, , ,200414, , , , , ,Republican/leans Republican,Excellent,Excellent/good,Excellent,Excellent/good,Good,Excellent/good,Excellent,Excellent/good,Not a source of stress,No, , , , ,Not worried at all,Not too/not worried at all,No, , ,Never left home,By the end of April,slowly/quickly,Don't know
50000045,815,.5053,WA,Center City County (Metro),West,Owned,Married,Retired,Two,Two, , , , ,65+,65+,"Four year college or university degree/Bachelor.s degree (e.g., BS, BA, AB)","$75,000 but less than $100,000",White Non-Hispanic,An Independent,d3 1-5 asked,Somewhat conservative,Conservative Net,Yes,Male,Protestant,Landline,"Yes, respondent or someone in household has cell phone", , ,200414, , , , ,Republican,Republican/leans Republican,Good,Excellent/good,Good,Excellent/good,Good,Excellent/good,Good,Excellent/good,"Yes, serious stress",No, , , , ,Not too worried,Not too/not worried at all,Yes,No,No,"Yes, wore mask or face covering",Or will it take longer than that,quickly/slowly,Slowly
50000046,815,.4444,WA,Center City (Metro),West,Rented,Divorced,Retired,One,One, , , , ,65+,65+,Two year associate degree from a college or university,"$15,000 but less than $25,000",White Non-Hispanic,An Independent,d3 5-1 asked,Very conservative,Conservative Net,Yes,Female,Protestant,Landline,"Yes, respondent or someone in household has cell phone", , ,200414, , , , ,Republican,Republican/leans Republican,Good,Excellent/good,Good,Excellent/good,Good,Excellent/good,Not employed,Not employed,"Yes, serious stress",No, , , , ,Somewhat worried,Very/somewhat worried,No, , ,Never left home,By the end of June,slowly/quickly,Slowly
50000048,815,.6751,CA,Center City (Metro),West,Owned,Married,Full-time,Three,Three, , , , ,50-64,45-64,"Postgraduate or professional degree, including master's, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)","$250,000 or more",White Non-Hispanic,A Republican,d3 5-1 asked,Somewhat conservative,Conservative Net,Yes,Male,Protestant,Landline,"Yes, respondent or someone in household has cell phone", , ,200414,"Yes, covered by health insurance",Plan through your or your spouse's employer, , , ,Republican/leans Republican,Excellent,Excellent/good,Excellent,Excellent/good,Good,Excellent/good,Excellent,Excellent/good,"Yes, stress, but not serious",No, , , , ,Not too worried,Not too/not worried at all,No, , ,"Yes, wore mask or face covering",By the end of April,quickly/slowly,Quickly
50000049,815,1.1654,CA,Surburban (Metro),West,Owned,Married,Full-time,Four,Four, , , , ,50-64,45-64,"Postgraduate or professional degree, including master's, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)","$100,000 to under $150,000",Asian/Chinese/Japanese,A Democrat,d3 1-5 asked,Somewhat liberal,Liberal Net,Yes,Male,Protestant,Landline,"Yes, respondent or someone in household has cell phone", , ,200414,"Yes, covered by health insurance",Plan through your or your spouse's employer, , , ,Democrat/leans Democrat,Poor,Not so good/poor,Poor,Not so good/poor,Good,Excellent/good,Excellent,Excellent/good,"Yes, stress, but not serious",No, , , , ,Not too worried,Not too/not worried at all,Yes,No,No,"Yes, wore mask or face covering",By the end of May,quickly/slowly,Slowly
50000050,815,1.0288,OR,Surburban (Metro),West,Owned,Married,Full-time,Two,Two, , , , ,50-64,45-64,"Some college, no degree (includes community college)","$75,000 but less than $100,000",White Non-Hispanic,A Democrat,d3 1-5 asked,Moderate,Moderate,Yes,Female,Nothing in particular,Landline,"Yes, respondent or someone in household has cell phone", , ,200414,"Yes, covered by health insurance",Plan through your or your spouse's employer, , , ,Democrat/leans Democrat,Poor,Not so good/poor,Poor,Not so good/poor,Good,Excellent/good,Good,Excellent/good,"Yes, stress, but not serious",No, , , , ,Somewhat worried,Very/somewhat worried,No, , ,"Yes, wore mask or face covering",Later in 2020,slowly/quickly,Slowly
50000051,815,1.2747,CA,Non-Center City (Metro),West,Rented,Married,Part-time,Three,Three, , , , ,50-64,45-64,High school graduate (Grade 12 with diploma or GED certificate),"$30,000 but less than $40,000",White Non-Hispanic,A Republican,d3 5-1 asked,Moderate,Moderate,Yes,Female,Lutheran,Landline,"Yes, respondent or someone in household has cell phone", , ,200414,"No, not covered by health insurance", , , , ,Republican/leans Republican,Not so good,Not so good/poor,Good,Excellent/good,Poor,Not so good/poor,Good,Excellent/good,"Yes, stress, but not serious",Yes,Somewhat concerned,Very concerned/somewhat concerned,Somewhat concerned,Very concerned/somewhat concerned,Not too worried,Not too/not worried at all,No, , ,"No, did not wear mask or face covering",By the end of May,slowly/quickly,Slowly
50000053,815,.3368,NY,Center City (Metro),North East,Rented,"Single, that is never married",Part-time,One,One, , , , ,65+,65+,"Some college, no degree (includes community college)","Less than $15,000",White Non-Hispanic,An Independent,d3 5-1 asked,Moderate,Moderate,Yes,Female,"Catholic, Roman Catholic",Landline,"Yes, respondent or someone in household has cell phone", , ,200415, , , , ,Republican,Republican/leans Republican,Excellent,Excellent/good,Excellent,Excellent/good,Excellent,Excellent/good,Excellent,Excellent/good,Not a source of stress,Yes,Not concerned at all,Not too/not concerned at all,Not too concerned,Not too/not concerned at all,Not worried at all,Not too/not worried at all,Yes,No,No,"No, did not wear mask or face covering",By the end of April,slowly/quickly,Slowly
50000054,815,1.7056,IN,Center City County (Metro),North Central,Owned,Married,Full-time,Two,Two, , , , ,30-49,30-44,High school graduate (Grade 12 with diploma or GED certificate),"$75,000 but less than $100,000",White Non-Hispanic,An Independent,d3 1-5 asked,Very liberal,Liberal Net,Yes,Female,Nothing in particular,Landline,"Yes, respondent or someone in household has cell phone", , ,200415,"Yes, covered by health insurance",Plan through your or your spouse's employer, , ,Republican,Republican/leans Republican,Poor,Not so good/poor,Poor,Not so good/poor,Good,Excellent/good,Excellent,Excellent/good,"Yes, serious stress",Yes,Somewhat concerned,Very concerned/somewhat concerned,Somewhat concerned,Very concerned/somewhat concerned,Not too worried,Not too/not worried at all,No, , ,"Yes, wore mask or face covering",Or will it take longer than that,slowly/quickly,Slowly
50000057,815,.6365,PA,Center City County (Metro),North East,Owned,Married,Retired,Two,Two, , , , ,65+,65+,Two year associate degree from a college or university,"$40,000 but less than $50,000",White Non-Hispanic,A Democrat,d3 5-1 asked,Somewhat conservative,Conservative Net,Yes,Male,"Catholic, Roman Catholic",Landline,"Yes, respondent or someone in household has cell phone", , ,200415, , , , , ,Democrat/leans Democrat,Good,Excellent/good,Good,Excellent/good,Good,Excellent/good,Not employed,Not employed,"Yes, stress, but not serious",No, , , , ,Somewhat worried,Very/somewhat worried,No, , ,"Yes, wore mask or face covering",By the end of May,quickly/slowly,Quickly
50000060,815,.8932,FL,Surburban (Metro),South,Owned,Married,Retired,Four,Four, , , , ,50-64,45-64,"Four year college or university degree/Bachelor.s degree (e.g., BS, BA, AB)","$50,000 but less than $75,000",White Non-Hispanic,A Democrat,d3 1-5 asked,Very liberal,Liberal Net,Yes,Female,"Catholic, Roman Catholic",Landline,"Yes, respondent or someone in household has cell phone", , ,200415,"Yes, covered by health insurance",Plan through your or your spouse's employer, , , ,Democrat/leans Democrat,Poor,Not so good/poor,Poor,Not so good/poor,Poor,Not so good/poor,Poor,Not so good/poor,"Yes, serious stress",No, , , , ,Very worried,Very/somewhat worried,No, , ,"Yes, wore mask or face covering",By the end of June,quickly/slowly,Quickly
